text,category
서울 집값 급등세에…가계대출 증가액 7조원 육박,금융
하지원 삼성액티브운용 대표 인터뷰 “액티브 ETF 급성장···리테일 확대 속도낼 것”,금융
‘1거래소 2은행’ 다시 불때는 하나금융硏…“투자자 76% 첫 거래 시 불편”,금융
매출 규모 커진 개인사업자…법인 전환으로 稅아끼세요,금융
서울 집값 급등세에…가계대출 증가액 7조원 육박,금융
"6월 가계대출 증가액 7조 원 육박, 집값 상승 영향",금융
"“젠슨 황 등 엔비디아 경영진, 1조 이상 주식 매도”",금융
"KB국민은행, 외국인 고객 전용 송금 서비스 47개국으로 확대",금융
원빈·앤톤 뜨더니…'4만원대 주식이 6만원' 개미들 환호 [종목+],금융
"거래소·예탁원·코스콤·증권금융, 이재명 정부서 증권 유관기관장들 교체 여부는",금융
가계부채 대책에 비대면대출 중단한 은행권…일각선 ‘풍선효과’ 우려도,금융
"美 법원, 리플·SEC 합의안 또다시 기각",금융
이달 가계대출 증가액 7조 육박…‘영끌’ 줄겠지만 풍선효과 주시,금융
"푸본현대생명, 사망보장·연금전환 지원 'MAX 종신보험 세븐 하이픽' 판매",금융
"30일부터 은행, 증권사 ‘김치본드’ 투자 허용된다",금융
"“비대면 주담대·신용대출 일단 멈춥니다”…시중은행, 대출규제 적용 위해 일시 중단",금융
"6월 가계대출 증가액 7조 원 육박, 집값 상승 영향",금융
완벽한 줄 알았던 그의 취미는 간접살인…엄친아 오인섭의 속내는[툰터뷰],기타
은퇴 앞둔 버핏 '역대 최대' 8조원 기부,기타
"HS효성, 국가유공자에 생필품 200세트 전달",기타
[프로필]정은경 복지부장관 후보자…의사출신 코로나 방역 선봉장,기타
등산로에 우글우글 ‘검은 덩어리’···아스팔트 조각 아닌 ‘러브버그’라니,기타
5선 의원으로 민주당내 손꼽히는 전략통,기타
한국인 30% 반려동물 기르는데…혼자 남겨지는 시간은?,기타
칼리시 때문에 잠 못 드는 고양이와 보호자…수의사가 한 행동은,기타
한국과 베트남 잇는 '키다리 아저씨' 될래요,기타
"""현장에 답 있다"" 90세에도 발로 뛴 1세대 건설인",기타
"""집콕을 즐겨하며 정돈된 공간선호""…나의 '집꾸' 취향은?",기타
이 자격증 따면 재취업도 문제없다고 하는데…재취업률 1위는?,기타
한창땐 3∼4일 단기 속성 코스…삼척 도계는 파독 광부 양성소(종합),기타
"한국남부발전, 미혼모 보호시설에 에어컨 보급 소아암·희귀병 아동 치료비 성금",기타
"한화, 6·25 전사자 유해발굴 캠페인 앞장",기타
"NOL 인터파크투어, FC바르셀로나-대구FC전 프리미엄 패키지 출시",기타
올여름 롯데월드 아쿠아리움서 핑구와 시원하게,기타
"NOL 인터파크투어, ‘FC바르셀로나:대구FC전’ 패키지 단독 출시",기타
직장인이 꼽은 새 정부 노동 과제 1위 '비정규직 문제해결',노동
"심광주 KCC건설 사장 ""한강 조망·인프라 갖춰…김포의 새 기준될 것""",부동산
"황덕순 남동타운피에프브이 대표 ""용인시에서 가장 살고 싶은 랜드마크가 되도록 하겠다""",부동산
문장건설은 지역 맞춤형 솔루션·시공 품질…주택 시장 경쟁력 확보,부동산
매물 품귀에 뛰는 전셋값…'입주 가뭄' 내년이 더 걱정,부동산
"이한성 디와이종합건설 대표 ""하이앤 브랜드로 프리미엄 민간임대 시장 선도""",부동산
"롯데건설, 송파구 가락1차현대아파트 재건축 수주",부동산
고려자산개발은 골프장·레지던스에서 하이엔드 주택단지까지 사업 넓혀,부동산
"스타트업과 함께 가는 미래 대기업""새 대한민국 힘내라"", 산업 GS건설 메이플자이 고급리조트 같은 조경·스카이라운지…'강남 대표 단지' 자리매김""",부동산
"롯데건설, 송파구 가락1차 현대아파트 재건축 수주",부동산
"한양 립스 센트럴파크, 지상 주차장 없는 '걷고픈 단지'…녹지도 넓혀",부동산
"13억3000만원 광교 아파트, 3일 만에 거래된 가격이…",부동산
"아파트값 급등한 강남, 전세가율 39.4% '역대 최저'",부동산
서울 아파트 74% 대출 규제 영향 '입주시 현금 8.6억 필요',부동산
뛰어난 입지·편리한 교통·차별화 설계…신개념 '랜드마크'가 온다,부동산
"비대면 대출부터 닫혔다…""서울 집값 잡으려다 애먼 시민 잡아""",부동산
"이효리, 100억 한남동 건물 팔고 샀는데…3년만에 '깜짝' [집코노미-핫!부동산]",부동산
"오퍼스 한강 스위첸, 김포 한강변…서울 출퇴근 편리한 대단지",부동산
"라브르 27(L'ARBRE 27), 집의 본질에 집중한 하이엔드 주택",부동산
"""자연친화적 단지가 대세…주거 서비스로 편의성 증대""",부동산
"현대건설·HDC현산, 강북 미아9-2구역 재건축 수주",부동산
대구 첫 입주민 전용 영화관·컨시어지 서비스…주거 혁신 '선도',부동산
“공실은 문제가 아니라 신호입니다” [한경부동산밸류업센터],부동산
"수청1지구 하이앤, 물놀이장·피트니스…민간임대 시설 차별화",부동산
"박철희 호반건설 사장 """"차별화된 주거 공간으로 고객의 '삶' 짓겠다""""",부동산
"야목역 서희스타힐스 그랜드힐, 남향 위주 배치…커뮤니티 시설로 편의 높여",부동산
남동타운피에프브이는 총 사업비 2조원…용인 푸르지오 원클러스터 1·2·3 단지 시행,부동산
"서대문 센트럴 아이파크, 북한산·인왕산·안산 어우러진 '숲세권' 단지",부동산
"현대건설, 미아9-2구역 재건축 사업 수주…6400억 규모",부동산
"KB부동산신탁, 대전 민간공원 특례사업 견본주택 개관 '분양일정 돌입'",부동산
"김보현 대우건설 대표 """"리조트 못지않은 쾌적한 조경…보안도 철저""""",부동산
"LH, 든든전세·매입임대 1713가구 공급",부동산
부동산 대출 규제 강화에 수도권 부동산 매수세 위축,부동산
"박현철 롯데건설 대표 ""생활 인프라 두루 갖춘 마음의 안식처 제공""",부동산
"위파크 제주, 한라산·바다 조망…공원 조경·문화생활 즐겨",부동산
서희건설은 지역주택조합 사업 '강자'…전국 80단지·10만가구 진행,부동산
두산건설은 '위브'와 '더 제니스' 브랜드로 초고층 건축 경쟁력 갖춰,부동산
반도체 클러스터 수혜…3개 대단지 분절없는 '하나의 생활권',부동산
"두산위브더제니스 평내호평역 N49, 최고 49층…시그니처 옥탑 구조물 돋보여",부동산
"현대건설, 강북구 미아9-2구역 재건축 수주",부동산
아파트 안부럽네 청년안심주택 인기,부동산
"e편한세상 신정 스카이하임, 울산 최고 학군에 공원의 쾌적함까지 담다",부동산
무주택자만 '줍줍'…강동구 '올파포' 노려볼까,부동산
뜨거웠던 수도권 부동산 시장 '규제 시작에 급속히 냉각',부동산
"수도권 임대사업자, 법인 전환땐 '취득세' 주의",부동산
"대출규제 발표날 '마래푸' 5000만원 낮춰 급매…""관망세 깊어질듯""[집슐랭]",부동산
"부동산 매수문의 ‘뚝’...초강력 대출 규제, 그 다음은 공급 대책?",부동산
서울 아파트 평균 시세 14.6억 원 '대출규제 시작 최대 6억',부동산
"삼성물산, 울산 남구 B-04구역 재개발사업 수주",부동산
"영통 푸르지오 트레센츠·파인베르, 입주민 힐링 위한 정원·연못·산책로 조성",부동산
대출 규제 시작' 수도권 부동산 매수세 급속 위축,부동산
경기도 광주 817가구 등 전국 6천여 가구 큰장,부동산
"김원철 서희건설 대표 ""화성의 미래 주거 중심지로 위상 높일 것""",부동산
서울 아파트값 고공행진…전세가율은 39.4%로 '역대 최저',부동산
"허윤홍 GS건설 대표 조경 차별화, 특화 커뮤니티…혁신 주거환경 조성 힘쓸 것",부동산
"김형근 SK에코플랜트 사장 ""실수요자 선호 중소형…쾌적한 정원 전망도""",부동산
대출 막히자 문의 뚝' 수도권 부동산 매수세 급속 위축,부동산
"과열됐던 수도권 부동산 시장, 규제 시작에 급속히 냉각",부동산
"롯데건설, 송파 가락1차현대 재건축 수주?'문정 르엘'로 재조성",부동산
"힐스테이트 메디알레, 외관·커뮤니티 품격 높여…은평의 랜드마크",부동산
서울 매매가 '상승전망' 133.9 역대 최고…아파트값 1.43% ↑,부동산
강남 아파트값 뛰더니…전세가율 39.4% '역대 최저',부동산
강남 아파트 전세가율 '30%'선 하락?강북 평균은 56.5%,부동산
"현대건설, 미아9-2구역 재건축사업 수주",부동산
HDC 현대산업개발은 서울 압구정·부산 해운대…최상의 주거 가치 제공,부동산
6월 한강 이남 11개구 아파트 평균 매매가 17억 돌파…사상 최대,부동산
"이한우 현대건설 대표 ""기술과 감성 조화…스마트 주거환경 구현""",부동산
"평택 송담 지엔하임 1차, 실수요자 눈높이에 맞춘 꼼꼼한 설계",부동산
"롯데캐슬 이스트폴, 주거·문화·업무 기능 다 갖춘 역세권 대단지",부동산
"최인호 BS한양 대표 ""민간특례사업으로 공원을 단지 조경처럼 활용""",부동산
"조완석 금호건설 사장 ""입주민 자부심 갖도록 명품 주거환경 만들 것""",부동산
"정종복 용인천리 지역주택조합장 ""자연 품은 아파트로 만들기 위해 최선 다할 것""",부동산
옥죄는 주택 담보대출에 서민들 집을 못 산다…수도권 규제로 지방까지 퍼지는 수요 감소 우려,부동산
"아파트값 급등한 강남구, 전세가율 39.4% ‘역대 최저’",부동산
공급 지연에…임대주택 건설 예산 절반 '뚝',부동산
"에코델타시티 아테라, 부산 첫 '아테라' 브랜드…혁신적 공간 설계",부동산
"삼성물산, 울산 남구 B-04구역 재개발 수주",부동산
[포토]'주담대 한도 6억' 초강수…서울 아파트 74.3% 영향권,부동산
"삼성물산, 울산 남구 B-04구역 재개발 시공사 선정",부동산
"현대건설, 강북구 미아9-2구역 재건축 맡는다",부동산
"7년 만에 ‘300억’ 대박, 건물주 원빈 ‘절세도 OK’ [누구집]",부동산
"LH, 분양전환형 임대 1713가구 공급..30일부터 청약 접수",부동산
부동산 규제 시작' 수도권 부동산 매수세 급속 위축,부동산
"장치성 문장건설 대표 ""고객 삶에 진심 담아…주거문화 변화 주도""",부동산
디와이종합건설은 신뢰 바탕으로 지역·수요자 맞춤 프리미엄 주거모델 확장,부동산
"영종 SK뷰, 태양광 발전·스마트 주차로 입주민 편의 보장",부동산
BS한양은 '수자인' 브랜드로 서울 청량리·의정부 랜드마크 단지 건설,부동산
"이정환 두산건설 대표 ""남양주 최고층에 현대적 디자인 설계 적용""",부동산
"박상신 DL이앤씨 대표 ""특별한 웰빙 설계로 울산 남구 최고 주거환경""",부동산
"대전 문화공원 수자인, 15.7만㎡ 공원 안의 단지…'숲세권' 입지 특화",부동산
주담대 6억원 제한…서울 중심지 '거래절벽'→외곽 '풍선효과' 전망,부동산
한양건설은 토목공사 기술력…'립스' 브랜드 지역주택조합 대표아파트,부동산
서울 아파트 74% 대출액 감소...현금 4억 원 더 마련해야,부동산
"삼성물산, 울산 남구 B-04구역 재개발 시공사 선정",부동산
"롯데백화점, 캠페인 '리얼스'로 세계 환경의 날 동참",사회
로봇과 인사하는 어린이,사회
"부산경제진흥원, 기업 현장 실습,실무형 인재 양성 청년센터 만들어 진로·구직 지원",사회
“사과 주산지는 강원” 재배면적 1년새 203ha 증가,사회
"LG, 멸종위기 토종벌 살리기…화담숲에 꿀벌 집",사회
로봇과 인사하는 어린이,사회
"HS화성, 국가유공자 주택 수리 봉사",사회
"롯데, 농어촌 조손가정 50가구 주거환경 개선",사회
"LG유플러스, 스마트폰 '악성 앱' 탐지 시 카톡으로 안내",산업
"과기부, 오는 30일 SKT 해킹 조사결과 국회 보고",산업
"과기부, 30일 SKT 유심 해킹 사고 조사 결과 발표",산업
오는 30일 SKT 유심 해킹 사고 조사 결과 발표,산업
"고려아연, 美 BOTTLE과 폐플라스틱 자원화 기술 개발",산업
"롯데마트, 국내를 넘어 해외 바다 생태계 보전",산업
최대 규모 제네시스 청주...전시장 넘어 고객과 교감하는 플랫폼,산업
"포스코, 대학 '지속가능경영' 정규과목 운영 지원",산업
"LG생활건강, 피지 '모락셀라 냄새제거' 캡슐세제 선봬",산업
"온실가스 저감 속도내는 삼성SDI, 재생에너지 전환율 37%",산업
"[人사이트] 김대영 RX Japan 인터내셔널 세일즈 총괄 “韓 IT, 日서 통한다”",산업
배터리·가전·전기차…中 기업들 한국 시장 진출 본격화,산업
7월 中企 경기전망지수 6월보다 소폭 상승...건설업 기대감 반영,산업
"CJ, 깨진 조각쌀 활용 ESG 관점 '고단백 스낵'",산업
대구경북 중소기업 체감경기 여전히 '부정적',산업
"고려아연, 美에너지부 컨소시엄과 폐플라스틱 재활용 기술 개발",산업
"HD현대일렉트릭, 노르웨이 통신 인프라 업체와 MOU",산업
"현대홈쇼핑, 제주 골프대회 '북적' 소상공인 판로 '활짝'",산업
獨본사와 협업 기회까지…韓스타트업 키우는 벤츠[넥스트라이즈 2025],산업
"제주항공, B737-8 5호기 도입…""안전운항 체계 구축""",산업
"IBK기업은행, 해외결제 특화 ‘B-GLOBAL(체크)’ 카드 출시",산업
"SK, UNIST와 배터리 인재 양성 협약",산업
"정희민 포스코이앤씨 사장 """"최신기술 접목된 첨단 단지…최고급 주거문화 선도할 것""""",산업
삼성전자와 동업'…미래 이끌 혁신 스타트업 발굴 잰걸음,산업
‘불닭’으로 시총 10조 원…삼성전기·두산· 현대글로비스 맞먹는 삼양식품,산업
관세 압박에 내수 부진까지 3분기 제조업 경기전망지수 '부정적',산업
삼양식품 ‘불닭 질주’ 어디까지...식품기업 첫 시총 10조 돌파,산업
"현대건설, 미국 원전사업 진출 시동…현지 건설사와 릴레이 협약",산업
"“위성으로 농사 짓는 시대”… 부산창경, 조벡스에 투자",산업
"임채환 고려자산개발 대표 """"사는 사람의 감정을 설계하는 공간 품격 지향""""",산업
AI 시장은 터지는데…찾는 이 없는 차세대 메모리,산업
"‘초개인화’ 쇼핑부터 라이더 배차, 여행상담까지…진화하는 유통 AI",산업
"16분기 연속 제조기업 경기전망 """"부정적""""...관세에 희비 교차",산업
"GS, 여수에 복합문화예술공간 '예울마루' 운영",산업
현대건설 美원전 진출 속도 톱10 기업들과 릴레이 협약,산업
4년째 제조기업 경기전망 부정적…절반이상 “매출 달성어려워”,산업
"효성, 1191명 베트남 학생 교육·생활환경 개선",산업
GS건설은 데이터센터 사업·스마트 연어양식사업 등 친환경 분야로 사업 확장,산업
"현대모비스, 직원 가족들 자발적 문화재 보존 봉사",산업
"대구 수출기업 10곳 중 6곳 """"국제노선 확충 필요""""",산업
"제조기업 경기전망 16분기째 부정적…54% """"매출 달성 어려울 듯""""",산업
대프리카' 건설현장은?…불볕더위 'OUT!' 지역 건설사들 쉬는 것도 확실하게,산업
롯데건설은 국내 최고층 롯데월드타워로 글로벌 시공 능력 입증,산업
삼성·SK하이닉스 2분기 실적…'HBM'이 희비 가른다,산업
"""중대재해처벌법 시행 이후 일감 몰려요""",산업
화물 침체·비용 부담…항공업계 2분기 실적 ‘흐림’,산업
"탄소에 값 매긴 금호석유화학, 내부탄소가격제 본격 도입",산업
파킨슨병 신약·이차전지 음극재… 부산 기술 스타트업 2곳 TIPS 선정,산업
"“태광산업, 꼼수 교환사채 발행” 트러스톤, 가처분 소송 제기",산업
포스코이앤씨는 작년 매출 9조5000억…도시정비사업 분야서 4조7000억 최대 실적,산업
"터키항공, 장거리 환승객 위한 무료 숙박 확대…기내·라운지 서비스도 보강",산업
美·유럽도 정조준...2035년 매출 1조 만든다는 '이 회사',산업
이른 무더위와 싸우는 산업현장…온열질환 예방 총력,산업
"제주항공, 기단 현대화 순항 중...차세대 B737-8 '5대' 도입 완료",산업
현대건설은 60개국 800여건 공사 진행…글로벌 기술력 국내 현장 접목,산업
"현대차, 민·관·학 '산업안전 일경험 프로젝트'",산업
[사설] 마이데이터로 '유통' 족쇄 채울건가,산업
중소기업 7월 경기전망 부진…건설·서비스업은 개선,산업
랜섬웨어 당했다 신고기업 중 '열에 여덟'은 중소기업,산업
국내 1호 공기업 석탄공사 퇴장…남은 건 빚 2.4조-인력 187명,산업
"테슬라, 세계 최초 완전무인 신차배송…30분간 완전자율주행",산업
"“전기차 보급 늘리자”…수입차, 충전 인프라 구축 속도",산업
악성 앱 설치 즉시 ‘위험’ 알림…LG유플러스가 업계 최초로 시행하는 서비스는?,산업
LG전자가 만든 1억원대 세컨드하우스...이번엔 제로에너지 최고등급 받아,산업
"삼성전자, 무더위 걱정 뚝! ‘AI 가전’으로 한여름 쾌적지킴이",산업
"폭염이 산업이 된다…대구, '쿨산업' 육성 전략 본격화",산업
"화승, 디지털 전환,친환경 경영 본격도입...전세계 60개 계열사, 年매출 6조 쑥",산업
"GS리테일, Z세대와 올바른 디지털 소비문화 '앞장'",산업
"정경구 HDC현대산업개발 대표 ""자연경관 고려해 혁신 디자인·설계 적용""",산업
대우건설은 해외 원전·플랜트부터 '푸르지오' 아파트까지 전방위 활약,산업
무료 반품' 네이버 매출 바꿨다…성장세 '이것' 가장 컸다,산업
"현대차그룹 전용 전기차, 글로벌 누적 판매 100만대 ‘질주’",산업
티웨이항공 새 대표에 '대한항공 출신' 이상윤… '새판 짜기' 본격화,산업
"고려아연, 美 에너지부 컨소시엄과 '폐플라스틱 재활용' 기술 연구개발",산업
"고양컨벤션뷰로, 고양 마이스 연계 창업리그 모집",산업
"가장 불확실했던 미국 시장, 웃은 건 현대차·기아…누적 점유율 신기록",산업
[그래픽] 제조업 경기전망지수(BSI) 추이,산업
DL이앤씨는 안정적 재무구조…친환경 신사업 박차,산업
금호건설은 주택사업 포함 토목·건축·환경…폭넓은 사업 경험 자랑,산업
"신세계백화점, 佛프랭탕 백화점과 손잡고 K뷰티 알리기",산업
"롯데홈쇼핑, 중소 파트너사 찾아 '벨리굿' 캠페인",산업
"LG유플러스, 글로벌 양자표준 연합 '퀸사' 초대 의장사 선정",산업
"LG화학, 하도급대금  7일 이내 100% 현금 지급",산업
"GS리테일, Z세대와 디지털 소비문화 구축 '앞장'",산업
"트러스톤 “태광산업 교환사채 발행, 주주 이익 침해… 법적 대응 나설 것”",산업
"백종원 더본코리아, 가맹점주 배달부담 완화 추진…배민과 상생안 논의",산업
"파나시아, 최근 3년간 청년 입사자 70% 넘어 글로벌 해양기술로 초고속 성장세",산업
KCC건설은 50년 노하우로 첨단 복합시설·친환경 건축시장 선도,산업
SK에코플랜트는 AI·반도체 산업 전방위 지원하는 공간 솔루션 제공,산업
"중소기업 경쟁력 퀀텀점프 …삼성, 10년간 3400곳 스마트 공장 지원",산업
"남부발전·부산중기청, 중동서 799만달러 수출 성과",산업
초기 스타트업에 몰린 투자금…6월 마지막주 투자받은 곳 어디?,산업
"CJ프레시웨이, 외식 브랜드 전용 소스 개발 확대",산업
호반건설은 AI·로봇 미래 기술 연계…건설 현장 안전·생산성 강화,산업
"현대건설, 美원전시장 진출 교두보 마련?현지 건설사와 릴레이 협약",산업
“글로벌-스타트업 밋업만 3600건”…‘AI 수출 동력’ 키운다[넥스트라이즈 2025],산업
"두산퓨얼셀, 바이오가스 활용 수소연료전지 모델 개발",산업
"제조업 2곳 중 1개사 ""매출 목표 미달할 것""",산업
‘韓 AI’ 찾는 구글·아마존·로레알…코엑스에 모인 글로벌 기업들[넥스트라이즈 2025],산업
"LG에너지솔루션, 품질개선 지원,해외 파트너사까지 확대",산업
주유소 기름값 2주 연속 상승,소비
“치킨 배달 시키려면 큰 맘 먹어야”…배달 이중가격에 2천~3천원 비싸,소비
주유소 기름값 2주 연속 상승,소비
"배달앱 이용자 55% ""2개 이상 사용""",소비
"가성비' 올라탄 저가 커피 신드롬, 콧대 높은 스타벅스를 흔들다",소비
"이마트, 육아 상담으로 부모 마음까지 돌본다",소비
"신한카드, 일본 여행 특화 상품 출시…최대 3.5% 적립",소비
주유소 기름값 2주 연속 상승,소비
대형마트의 반격…PB라면 돌풍,소비
현금 1만 원·포인트 1만 원? '운명의 1주일' 맞은 SKT 고객 보상안은,소비
"쿠팡, '사과 일병 구하기' 상품 출시…지역농가 지원""""",소비
"땡큐 엣지…초슬림 삼성폰, 비수기 '틈새 공략' 통했다",소비
주유소 기름값 2주 연속 상승,소비
"이중가격제' 도입 외식업체 확산… ""치킨 배달가 2천원씩 인상""",소비
"이랜드 뉴발란스, '케이브' 신규 컬러 선봬",소비
"라면값도 부담스러운 시대…""500원 라면""에 줄 선다",소비
주유소 기름값 2주 연속 상승,소비
고물가 속 ‘착한 라면’에 몰리는 손길,소비
[그래픽] 외식물가 상승률 현황,소비
주유소 기름값 2주 연속 상승,소비
세금 내면 쌓이는 포인트… 영화·쇼핑 할인 받으세요,소비
"당근, 세탁 서비스 시작하고 선불권 기능 도입…O2O 확장",소비
오늘도 밥상에 고기반찬 없네…미국산 소고깃값 뛰자 호주산·돼지고기도 '껑충',소비
"갤러리아백화점, 제임스펄스 첫 남성 단독 매장 오픈",소비
배달 수수료 부담에 치킨·햄버거 등 외식물가 올랐다,소비
"이랜드 뉴발란스, '케이브' 신규 컬러 출시",소비
"상속 준비, 유언공증·보험금청구권 신탁서 출발",정책
"손동영 미래전략포럼, 지방 재건 해법 찾는 공론의 장 되길",정책
송미령 장관 “타작물 재배 예산 확대…쌀값 안정 위해 양곡법 개정”,정책
[프로필]산업부 장관 후보자에 ‘에너지 전문가’ 김정관,정책
산업부 장관에 관료 출신 기업인 발탁…'산업정책 귀환' 신호탄,정책
기재 구윤철·교육 이진숙·행안 윤호중·산업 김정관 등 6개 부처 장관 인선,정책
"해수부, 여름 휴가철 대비 전국 '연안여객선 특별점검'",정책
[프로필]이재명 정부 초대 경제부총리에 '예산통' 구윤철,정책
지방도 서민층 디딤돌·버팀목 아파트 대출 어려워져…지방 상황 고려한 정책 만들어져야,정책
"과기부, 오는 30일 SKT 해킹 조사결과 국회 보고",정책
기재부 장관 후보자 구윤철…청와대 경험 풍부 '예산통',정책
"李 경제사령탑, 구윤철 누구?…'文 확장 재정' 총괄한 정통관료",정책
대수술 앞둔 R&D 예산…'지출한도 설정' 등 과기 역할 강화에 방점,정책
공백 두달만에 경제수장 지명…첫 과제는 새정부 경제정책방향(종합),정책
"李, 6개 부처 장관 인선…경제부총리 구윤철·법무장관 정성호(종합)",정책
"""지방자치 30년, 행정적 분권에 머물러…실질적 자치로 나아가야""",정책
"[프로필]지방시대위원장에 김경수 위촉…""""균형발전 공약 적임자""""",정책
초대 경제사령탑 후보자에 AI 전도사 ‘구윤철’ 산업장관에 에너지통 ‘김정관’,정책
"[속보] 우 의장 ""7월 3일 총리 인준안 표결""…내일 본회의 개최 않기로",정책
구윤철 기획재정부 장관 후보자… 盧·文도 중용한 '예산·정책통',정책
이호현 산업부 2차관…에너지 분야 전문성 갖춘 인물,정책
"李 대통령, 산업장관에 김정관 두산에너빌 사장 지명",정책
"[프로필]산업부 2차관에 이호현 에너지정책실장…""""에너지 실무통""""""",정책
새 정부 첫 경제 사령탑에 정책·예산통 배치…성장·안정에 방점,정책
"""AI는 구조 혁신 수단""…李정부 초대 경제사령탑 앞에 놓인 과제",정책
李정부 초대 경제사령탑 구윤철…확장재정 이끌 ‘예산통’,정책
[프로필] 류제명 과기정통부 2차관…ICT 정통한 정책 전문가,정책
[프로필] 김정관 산업부 장관 후보자… 경제관료 역량에 산업 전문성도 갖춰,정책
"청년 몰리는 기업 현금 지원… 부산시, 경제살리기 '올인'",정책
산업장관에 이례적 현장 기업인 발탁…업계에선 '성장정책' 기대감,정책
새 정부 경제부총리 구윤철…확장재정 주도 ‘예산통·정책통’,정책
사시 부활하나...국정위 “검토 여부판단”,정책
"이재명 정부, 구윤철 초대 기재부 장관 후보자 지명 “예산통”",정책
李정부 초대 경제사령탑 구윤철…정책·조정·예산 두루 섭렵한 팔방미인형,정책
"[속보]李대통령, 보건복지부 장관에 정은경 지명",정책
"[이코노피플] 김인남 대구경총 회장 ""기업하기 좋은 환경이 최우선""",정책
[프로필] 산업부 장관에 김정관 두산에너빌리티 사장…공공·민간 넘나든 '에너지 전략가',정책
[프로필]산업2차관에 ‘에너지통’ 이호현 에너지정책실장,정책
정책통 촉망받던 에이스…관료와 민간 경험한 산업 김정관,정책
[프로필]산업장관 후보 김정관 두산에너빌리티 사장…관료 출신,정책
오유경 식약처장 유임… 이재명 정부 두 번째 ‘연속 기용’ 사례,정책
AI 전도사'로 돌아온 구윤철…'3% 성장동력' 열쇠 찾는다(종합),정책
해수부 '연안여객선 안전관리 경진대회' 신청 접수,정책
"[프로필]경제사령탑 후보자에 ‘구윤철’…“AI 투자, 韓경제 미래 좌우”",정책
"윤호중 행안부 장관 후보자, 원내대표 지낸 5선 중진",정책
"김정관 산업부 장관 후보자…기재부 출신 기업인, 원전 수주 이끌어",정책
"과기부, 오는 30일 SKT 해킹 조사결과 국회 보고",정책
오는 30일 SKT 유심 해킹 사고 조사 결과 발표,정책
